iter	Accuracy	Logloss
0	0.7290379523	0.6771834726
1	0.733451015	0.6616515866
2	0.7360988526	0.6469842793
3	0.7449249779	0.6317510307
4	0.7528684907	0.6201528794
5	0.7625772286	0.6065625721
6	0.7511032657	0.5996180387
7	0.7555163283	0.5876293233
8	0.7563989409	0.5796790598
9	0.759929391	0.5721722128
10	0.7572815534	0.5666888312
11	0.7740511915	0.5589084023
12	0.7678729038	0.5525559549
13	0.7714033539	0.5482804043
14	0.7714033539	0.5423432074
15	0.7705207414	0.5375490025
16	0.7696381289	0.5321567069
17	0.7749338041	0.5307321407
18	0.7722859665	0.52742782
19	0.7714033539	0.5239011992
20	0.7705207414	0.5194159404
21	0.7722859665	0.5183336552
22	0.7714033539	0.5120886853
23	0.7766990291	0.5087550972
24	0.7784642542	0.5075734535
25	0.7784642542	0.5043031161
26	0.7784642542	0.5025834444
27	0.7828773169	0.4995609766
28	0.7828773169	0.4979877904
29	0.7846425419	0.4949024574
30	0.7846425419	0.4943509513
31	0.7890556046	0.4923319255
32	0.7881729921	0.4896375524
33	0.7899382171	0.4878331049
34	0.7881729921	0.4874779378
35	0.7917034422	0.4849736083
36	0.7952338923	0.4825627736
37	0.7952338923	0.4797349615
38	0.7952338923	0.4772532592
39	0.7961165049	0.4744302815
40	0.7961165049	0.4733359543
41	0.7961165049	0.4715449743
42	0.7943512798	0.4694615078
43	0.7961165049	0.4682168918
44	0.7943512798	0.466385115
45	0.7943512798	0.4645939406
46	0.7943512798	0.4633700116
47	0.7978817299	0.4610872043
48	0.8005295675	0.4597964729
49	0.7987643425	0.4583013646
50	0.8005295675	0.4564781543
51	0.8005295675	0.4556158461
52	0.8031774051	0.4550925063
53	0.8022947926	0.4541288139
54	0.8049426302	0.4523860253
55	0.8067078553	0.4512323606
56	0.8040600177	0.4500225578
57	0.8031774051	0.4496664735
58	0.8040600177	0.4486569564
59	0.8075904678	0.4462626155
60	0.8111209179	0.4441759555
61	0.8093556929	0.4430753234
62	0.8102383054	0.4424308196
63	0.8093556929	0.4420975583
64	0.8075904678	0.441666754
65	0.8058252427	0.4404290505
66	0.8067078553	0.4394267923
67	0.8102383054	0.438501423
68	0.8084730803	0.4378068132
69	0.8084730803	0.437650237
70	0.8111209179	0.4357591022
71	0.812886143	0.4338409584
72	0.8137687555	0.433413383
73	0.8137687555	0.4319162561
74	0.8137687555	0.4304896886
75	0.8120035305	0.4287467596
76	0.812886143	0.4280470012
77	0.8155339806	0.4272730046
78	0.8155339806	0.4261170962
79	0.8164165931	0.4252494387
80	0.8164165931	0.4231931975
81	0.8181818182	0.4219350114
82	0.8199470432	0.4212527707
83	0.8243601059	0.4195119869
84	0.826125331	0.418196731
85	0.8270079435	0.4179377181
86	0.8252427184	0.4172576509
87	0.8252427184	0.4160824109
88	0.8270079435	0.4150770694
89	0.8287731686	0.4136589378
90	0.8305383936	0.412653947
91	0.8296557811	0.4121874055
92	0.8331862312	0.4111212791
93	0.8340688438	0.4106757127
94	0.8358340688	0.4099911357
95	0.8358340688	0.409317783
96	0.8358340688	0.4082745537
97	0.8358340688	0.4075724645
98	0.8367166814	0.4070228601
99	0.8349514563	0.4056407069
100	0.8349514563	0.4052489367
101	0.8367166814	0.4050552439
102	0.8375992939	0.4040008782
103	0.841129744	0.402657558
104	0.8420123566	0.401146091
105	0.841129744	0.4009436549
106	0.841129744	0.4003618475
107	0.8402471315	0.3998341322
108	0.839364519	0.398855915
109	0.8402471315	0.3975782593
110	0.8402471315	0.397071088
111	0.841129744	0.396604544
112	0.839364519	0.3961664056
113	0.841129744	0.3953007422
114	0.841129744	0.3943771995
115	0.841129744	0.3938484917
116	0.841129744	0.3937895485
117	0.841129744	0.392909856
118	0.841129744	0.3920039744
119	0.841129744	0.3919999675
120	0.8420123566	0.3912578659
121	0.8420123566	0.3911569335
122	0.8420123566	0.3906481362
123	0.8420123566	0.390647212
124	0.8428949691	0.3901600137
125	0.8455428067	0.3892584506
126	0.8455428067	0.3892574781
127	0.8473080318	0.3888266762
128	0.8473080318	0.3884399994
129	0.8481906443	0.3878419959
130	0.8464254192	0.3867509678
131	0.8464254192	0.386750958
132	0.8464254192	0.386178978
133	0.8481906443	0.3850065008
134	0.8499558694	0.3834054326
135	0.8490732568	0.3820341954
136	0.8490732568	0.3817021371
137	0.8481906443	0.3808727358
138	0.8499558694	0.3803047918
139	0.8517210944	0.3797398032
140	0.852603707	0.3787536351
141	0.852603707	0.3787476384
142	0.852603707	0.3781378647
143	0.854368932	0.3765141373
144	0.854368932	0.375214325
145	0.854368932	0.3751527352
146	0.8552515446	0.3735438504
147	0.8561341571	0.3722088409
148	0.8561341571	0.3714903167
149	0.8552515446	0.3704478476
150	0.8587819947	0.3691628834
151	0.8587819947	0.3687686527
152	0.8596646072	0.3684700576
153	0.8623124448	0.3672352062
154	0.8623124448	0.3665997406
155	0.8614298323	0.3657882993
156	0.8614298323	0.3656153855
157	0.8631950574	0.3648423269
158	0.8631950574	0.3645240451
159	0.8640776699	0.3640140053
160	0.8684907326	0.360619216
161	0.8667255075	0.3594975586
162	0.86760812	0.3589535527
163	0.86760812	0.358552002
164	0.86760812	0.357780143
165	0.86760812	0.3570997798
166	0.8693733451	0.355110762
167	0.8711385702	0.3543321573
168	0.8729037952	0.353592984
169	0.8720211827	0.3528176648
170	0.8729037952	0.3520707415
171	0.8729037952	0.3516465077
172	0.8737864078	0.3507137294
173	0.8773168579	0.349856818
174	0.8781994704	0.3486066016
175	0.8799646955	0.3473034447
176	0.880847308	0.3470167967
177	0.880847308	0.3461875338
178	0.8817299206	0.3455623237
179	0.879082083	0.3448536222
180	0.880847308	0.3440378362
181	0.8817299206	0.3435587802
182	0.8817299206	0.3427315989
183	0.8852603707	0.3417176379
184	0.8852603707	0.3414272192
185	0.8852603707	0.3409527099
186	0.8870255958	0.3406025277
187	0.8870255958	0.3398811529
188	0.8879082083	0.3388625857
189	0.8887908208	0.3382280357
190	0.8887908208	0.3370818662
191	0.8887908208	0.3367157261
192	0.8887908208	0.3363182058
193	0.8887908208	0.3360891293
194	0.8887908208	0.3355371511
195	0.8870255958	0.335033596
196	0.8905560459	0.3342254713
197	0.8896734334	0.33321733
198	0.8896734334	0.3322288887
199	0.8896734334	0.3314972447
200	0.8914386584	0.3306979544
201	0.892321271	0.3301116083
202	0.892321271	0.3299567471
203	0.894086496	0.3278399912
204	0.894086496	0.3271798033
205	0.8967343336	0.3264678827
206	0.8967343336	0.3262124904
207	0.8976169462	0.3255452167
208	0.894086496	0.3249916104
209	0.894086496	0.3247257639
210	0.8949691086	0.3242973955
211	0.894086496	0.3235540734
212	0.8958517211	0.3230470275
213	0.8958517211	0.3220994456
214	0.8958517211	0.3216556846
215	0.8958517211	0.3210123788
216	0.894086496	0.3203216765
217	0.8949691086	0.3197941756
218	0.8958517211	0.319461367
219	0.8967343336	0.3189876546
220	0.8949691086	0.3175773494
221	0.8967343336	0.3165186389
222	0.8967343336	0.315892671
223	0.8967343336	0.3154806431
224	0.8967343336	0.3152965092
225	0.8967343336	0.314773794
226	0.8958517211	0.3145775105
227	0.8984995587	0.3135556368
228	0.9002647838	0.3127838895
229	0.9011473963	0.3123628676
230	0.9011473963	0.3117420545
231	0.9011473963	0.3114221762
232	0.9020300088	0.3103028749
233	0.9029126214	0.3096354714
234	0.9020300088	0.3095248341
235	0.9020300088	0.30896642
236	0.9029126214	0.3087029806
237	0.9011473963	0.3083443928
238	0.9020300088	0.3079929735
239	0.9029126214	0.3068761698
240	0.9020300088	0.30623847
241	0.9020300088	0.3059406661
242	0.9037952339	0.305296649
243	0.9020300088	0.3049204154
244	0.9037952339	0.3048391561
245	0.905560459	0.304554187
246	0.905560459	0.3042478878
