iter	Passed	Remaining
0	71	71265
1	76	38013
2	81	27208
3	94	23462
4	103	20631
5	111	18518
6	118	16871
7	124	15454
8	128	14103
9	136	13510
10	140	12610
11	146	12090
12	152	11586
13	157	11075
14	163	10766
15	183	11287
16	197	11419
17	199	10886
18	206	10653
19	214	10502
20	219	10240
21	220	9818
22	225	9594
23	230	9368
24	232	9074
25	237	8894
26	241	8702
27	245	8536
28	249	8365
29	253	8207
30	255	7988
31	260	7883
32	264	7761
33	269	7647
34	270	7469
35	275	7372
36	279	7277
37	284	7198
38	288	7108
39	293	7039
40	297	6957
41	301	6871
42	304	6786
43	309	6728
44	315	6699
45	320	6639
46	324	6579
47	328	6511
48	334	6501
49	340	6464
50	344	6415
51	350	6393
52	355	6347
53	359	6305
54	364	6261
55	368	6219
56	373	6179
57	380	6178
58	385	6148
59	391	6125
60	396	6101
61	401	6080
62	408	6071
63	412	6038
64	417	6005
65	422	5976
66	426	5943
67	431	5917
68	436	5886
69	437	5809
70	442	5787
71	447	5765
72	451	5736
73	458	5736
74	463	5714
75	467	5688
76	473	5670
77	478	5658
78	484	5644
79	493	5670
80	497	5647
81	502	5622
82	510	5639
83	518	5658
84	528	5684
85	533	5667
86	541	5686
87	549	5693
88	555	5688
89	561	5672
90	567	5664
91	572	5649
92	577	5629
93	582	5618
94	593	5650
95	598	5637
96	603	5614
97	608	5599
98	614	5588
99	618	5570
100	624	5556
101	629	5539
102	633	5519
103	638	5501
104	643	5484
105	645	5442
106	649	5416
107	653	5398
108	658	5379
109	662	5357
110	665	5330
111	670	5314
112	674	5296
113	679	5278
114	683	5262
115	688	5249
116	690	5213
117	696	5202
118	701	5191
119	702	5153
120	706	5135
121	708	5097
122	713	5087
123	714	5048
124	719	5033
125	723	5019
126	726	4991
127	731	4982
128	736	4970
129	740	4954
130	744	4941
131	746	4910
132	751	4899
133	755	4884
134	760	4871
135	764	4856
136	768	4841
137	773	4828
138	778	4820
139	782	4809
140	787	4799
141	789	4767
142	793	4754
143	797	4742
144	802	4731
145	804	4706
146	813	4718
147	818	4712
148	823	4703
149	828	4692
150	832	4681
151	837	4672
152	842	4661
153	846	4650
154	851	4640
155	855	4629
156	860	4617
157	864	4606
158	869	4600
159	873	4587
160	878	4576
161	883	4567
162	888	4560
163	892	4550
164	897	4541
165	901	4530
166	906	4524
167	911	4515
168	916	4507
169	920	4496
170	924	4483
171	929	4476
172	934	4466
173	938	4452
174	942	4442
175	946	4433
176	954	4436
177	959	4429
178	965	4426
179	972	4431
180	980	4434
181	985	4430
182	993	4434
183	1000	4435
184	1009	4448
185	1016	4448
186	1022	4446
187	1031	4454
188	1039	4460
189	1045	4457
190	1054	4465
191	1061	4467
192	1073	4489
193	1080	4490
194	1091	4505
195	1096	4498
196	1105	4505
197	1114	4513
198	1120	4511
199	1126	4506
200	1138	4524
201	1144	4521
202	1152	4525
203	1184	4622
204	1190	4616
205	1195	4609
206	1203	4612
207	1208	4603
208	1213	4594
209	1219	4586
210	1224	4576
211	1228	4566
212	1233	4557
213	1237	4546
214	1242	4537
215	1246	4525
216	1251	4515
217	1255	4504
218	1259	4492
219	1264	4483
220	1269	4473
221	1273	4463
222	1278	4456
223	1283	4445
224	1287	4435
225	1292	4426
226	1297	4418
227	1302	4409
228	1306	4398
229	1310	4388
230	1315	4379
231	1319	4368
232	1325	4363
233	1330	4355
234	1334	4344
235	1340	4340
236	1346	4334
237	1351	4327
238	1357	4322
239	1363	4317
240	1368	4309
241	1372	4300
242	1380	4299
243	1385	4293
244	1390	4285
245	1395	4277
246	1402	4275
247	1407	4268
248	1412	4259
249	1416	4250
250	1422	4243
251	1427	4236
252	1431	4226
253	1436	4219
254	1441	4210
255	1445	4201
256	1449	4191
257	1455	4184
258	1460	4177
259	1464	4168
260	1469	4161
261	1474	4153
262	1479	4146
263	1484	4138
264	1488	4128
265	1493	4119
266	1497	4112
267	1501	4102
268	1509	4101
269	1516	4098
270	1521	4092
271	1526	4086
272	1534	4087
273	1539	4080
274	1546	4077
275	1553	4075
276	1559	4070
277	1569	4075
278	1582	4089
279	1590	4090
280	1599	4092
281	1608	4094
282	1618	4101
283	1627	4102
284	1636	4104
285	1644	4105
286	1650	4101
287	1658	4100
288	1672	4114
289	1680	4113
290	1698	4137
291	1715	4158
292	1726	4166
293	1736	4170
294	1748	4179
295	1764	4196
296	1776	4203
297	1785	4204
298	1791	4201
299	1801	4203
300	1806	4195
301	1813	4191
302	1819	4184
303	1824	4177
304	1828	4167
305	1833	4158
306	1837	4148
307	1842	4138
308	1846	4130
309	1851	4121
310	1856	4112
311	1861	4104
312	1865	4095
313	1869	4085
314	1874	4077
315	1879	4068
316	1883	4058
317	1888	4049
318	1892	4040
319	1897	4031
320	1901	4022
321	1906	4013
322	1910	4004
323	1915	3995
324	1919	3986
325	1924	3978
326	1928	3969
327	1933	3960
328	1937	3951
329	1942	3942
330	1946	3934
331	1951	3926
332	1955	3916
333	1959	3907
334	1964	3900
335	1969	3891
336	1974	3883
337	1978	3874
338	1983	3866
339	1987	3858
340	1992	3851
341	1997	3843
342	2002	3835
343	2007	3827
344	2011	3818
345	2016	3810
346	2020	3802
347	2030	3804
348	2036	3798
349	2042	3793
350	2050	3790
351	2055	3784
352	2061	3779
353	2078	3793
354	2084	3787
355	2092	3784
356	2107	3795
357	2116	3794
358	2123	3791
359	2130	3788
360	2137	3783
361	2153	3796
362	2177	3820
363	2187	3822
364	2197	3822
365	2205	3821
366	2213	3817
367	2220	3813
368	2229	3812
369	2237	3810
370	2243	3804
371	2249	3797
372	2258	3795
373	2263	3789
